,ReleaseDate,Movie,ProductionBudget,DomesticGross,WorldwideGross
56,"Dec 14, 2021",Spider-Man: No Way Home,"$200,000,000","$814,811,535","$1,908,532,719"
57,"Feb 13, 2018",Black Panther,"$200,000,000","$700,059,566","$1,336,494,320"
58,"Dec 18, 1997",Titanic,"$200,000,000","$674,460,013","$2,223,048,786"
59,"Jun 15, 2018",Incredibles 2,"$200,000,000","$608,581,744","$1,242,805,359"
60,"Jun 12, 2024",Inside Out 2,"$200,000,000","$547,918,459","$1,267,918,459"
61,"Jun 16, 2016",Finding Dory,"$200,000,000","$486,295,561","$1,025,006,125"
62,"Jun 20, 2019",Toy Story 4,"$200,000,000","$434,038,008","$1,072,817,964"
63,"Jun 18, 2010",Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
64,"May 4, 2022",Doctor Strange in the Multiverse of Madness,"$200,000,000","$411,331,607","$952,224,986"
65,"Apr 24, 2013",Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272"
66,"Apr 28, 2017",Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$869,087,963"
67,"Jun 30, 2004",Spider-Man 2,"$200,000,000","$374,715,055","$795,888,127"
68,"Mar 1, 2022",The Batman,"$200,000,000","$369,345,583","$765,950,479"
69,"Mar 4, 2010",Alice in Wonderland,"$200,000,000","$334,191,110","$1,025,491,110"
70,"Oct 26, 2012",Skyfall,"$200,000,000","$304,360,277","$1,110,526,981"
71,"Dec 11, 2012",The Hobbit: An Unexpected Journey,"$200,000,000","$303,003,568","$1,014,938,545"
72,"Jun 21, 2013",Monsters University,"$200,000,000","$268,488,329","$743,455,810"
73,"Mar 8, 2013",Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051"
74,"May 21, 2014",X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
75,"Feb 15, 2023",Ant-Man and the Wasp: Quantumania,"$200,000,000","$214,506,909","$463,635,303"
76,"Apr 16, 2014",The Amazing Spider-Man 2,"$200,000,000","$203,530,343","$709,672,746"
77,"Jun 23, 2011",Cars 2,"$200,000,000","$191,450,875","$560,155,383"
78,"Jul 7, 2021",Black Widow,"$200,000,000","$183,651,655","$379,751,131"
79,"Jul 31, 2019",Fast & Furious Presents: Hobbs & Shaw,"$200,000,000","$173,956,935","$760,732,926"
80,"May 20, 2021",F9: The Fast Saga,"$200,000,000","$173,005,945","$719,360,068"
81,"Dec 17, 2010",Tron: Legacy,"$200,000,000","$172,062,763","$399,866,199"
82,"Oct 19, 2022",Black Adam,"$200,000,000","$168,283,344","$390,455,088"
83,"Nov 12, 2009",2012,"$200,000,000","$166,112,167","$757,677,748"
84,"Nov 3, 2021",Eternals,"$200,000,000","$164,870,264","$401,731,759"
85,"Nov 14, 2018",Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$159,555,901","$648,455,339"
86,"Jun 14, 2023",Elemental,"$200,000,000","$154,426,697","$484,829,737"
87,"May 21, 2009",Terminator Salvation,"$200,000,000","$125,322,469","$365,491,792"
88,"Jun 15, 2022",Lightyear,"$200,000,000","$118,307,188","$218,768,299"
89,"Jul 28, 2021",Jungle Cruise,"$200,000,000","$116,987,516","$210,469,803"
90,"Jun 17, 2011",Green Lantern,"$200,000,000","$116,601,172","$219,535,492"
91,"Jun 13, 2023",The Flash,"$200,000,000","$108,167,507","$266,550,332"
92,"Apr 6, 2022",Fantastic Beasts: The Secrets of Dumbledore,"$200,000,000","$95,850,844","$404,560,145"
93,"May 28, 2010",Prince of Persia: Sands of Time,"$200,000,000","$90,759,676","$336,359,676"
94,"Oct 18, 2023",Killers of the Flower Moon,"$200,000,000","$68,026,901","$156,424,331"
95,"Jun 5, 2019",Dark Phoenix,"$200,000,000","$65,845,974","$246,356,895"
96,"Nov 22, 2023",Wish,"$200,000,000","$63,973,821","$240,274,313"
97,"Feb 28, 2020",Onward,"$200,000,000","$61,555,145","$133,357,601"
98,"Nov 22, 2023",Napoleon,"$200,000,000","$61,524,375","$217,917,156"
99,"Dec 16, 2020",Wonder Woman 1984,"$200,000,000","$46,801,036","$166,360,232"
100,"Jan 31, 2024",Argylle,"$200,000,000","$45,207,275","$96,210,855"
